location	Habitat	ARG_Abund_avg	numsubtype_avg	ARG_Abund_sd	numsubtype_sd	sampleInformation	longitude	latitude
GD_SL_Forest	Fo	257.859953069622	371	18.7859542398636	19	GD.Fo10	111.65	22.14
GD_DBS_Forest	Fo	554.900905002778	392	82.9049507305442	17.3493515728975	GD.Fo26	113.7	24.6
GX_Fo_Forest	Fo	596.946160582466	381.666666666667	107.169220535994	34.5012077083301	GX.Fo7	107.62	24.84
YN_SZS_Forest	Fo	399.351344943332	457.333333333333	135.550194670615	3.21455025366432	YN.Fo10	102.03	24.88
GD_FK_Forest	Fo	498.606491818296	444.666666666667	42.455936665891	13.6503968196288	GD.Fo16	113.63	25.05
FJ_Fo_Forest	Fo	777.386320343819	374.666666666667	23.0937501355707	23.7135685491099	FJ.Fo10	116.39	25.2
HuN_HSP_Forest	Fo	854.289646011484	401	210.503857567551	11.3578166916005	HuN.Fo19	112.7	25.68
YN_TD_Forest	Fo	595.742839557083	448	150.50557940473	52.8299157674892	YN.Fo17	103.1	26.19
JX_YK_Forest	Fo	1098.38793831604	370	291.41782728166	20.4205778566621	JX.Fo10	115.64	26.22
YN_LP_Forest	Fo	586.695097474064	387	144.530079475907	13.8924439894498	YN.Fo37	99.39	26.4
HuN_SKS_Forest	Fo	1004.82037534912	394	132.140013123289	2.64575131106459	HuN.Fo9	112.56	26.56
YN_HZ_Forest	Fo	851.232996204161	393	460.050753458185	41.2189276910499	YN.Fo27	103.72	26.65
GZ_Fo_Forest	Fo	517.722341903121	390	92.0296556129552	8.71779788708135	GZ.Fo10	104.01	26.75
JX_YP_Forest	Fo	931.236968765635	384.333333333333	164.899397618753	9.45163125250522	JX.Fo17	117.71	28.21
JX_DX_Forest	Fo	851.084657474909	267.666666666667	424.604905115938	160.923377212055	JX.Fo25	117.73	29
JX_CMS_Forest	Fo	881.537601517481	399	516.316281800633	20.8806130178211	JX.Fo37	115.83	29.68
JX_WS_Forest	Fo	584.096035870691	420.666666666667	29.087583776433	15.8219257150744	JX.Fo49	115.65	29.74
HuB_Fo_Forest	Fo	671.781435543609	451.333333333333	42.7335546924615	14.1891977691952	HuB.Fo7	115.48	29.84
ZJ_Fo_Forest	Fo	685.824752331277	427.666666666667	78.988166210291	13.6503968196288	ZJ.Fo9	119.83	30.12
AH_Fo_Forest	Fo	719.833634404133	435	50.6804113454275	4.35889894354067	AH.Fo5	117.97	30.93
JS_Fo_Forest	Fo	732.483030107397	455.666666666667	97.421705804996	13.0511813003013	JS.Fo7	118.96	32.16
FX_Fo_Forest	Fo	686.013437082757	412	144.925977593581	7.93725393319377	FX.Fo10	106.6	33.89
GS_Fo_Forest	Fo	634.486053818994	430.666666666667	95.5588759956554	14.0118997046558	GS.Fo9	105.73	33.95
YQ_Fo_Forest	Fo	522.714289144295	442	89.9547887570184	8.88819441731559	YQ.Fo5	111.65	35.26
LN_Fo_Forest	Fo	288.071738549729	416.333333333333	15.3312922282225	2.51661147842358	LN.Fo10	123.6	40.71
NM_Fo_Forest	Fo	662.023008803759	405	135.787058218079	2.64575131106459	NM.Fo10	107.05	41.09
HLJ_Fo_Forest	Fo	720.85529883605	393.333333333333	213.155852871422	11.0151410945722	HLJ.Fo7	129.27	47.47
