sampleID	total.ARG.DepthPG	numARG	sampleType
AH.Fa5	777.309564716909	492	Fa
AH.Fa7	744.357120274976	484	Fa
AH.Fa9	830.094944342506	484	Fa
AH.Fo5	768.779329877099	432	Fo
AH.Fo7	723.141054217523	433	Fo
AH.Fo9	667.580519117778	440	Fo
AH.T5	2373.40295836488	213	T
AH.T7	1399.2570539562	114	T
AH.T9	2399.13476821107	245	T
ERR1713332.S	2243.61248484848	422	S
ERR1713333.S	2208.2154	406	S
ERR1713334.S	1997.17805755396	463	S
ERR1713335.S	2205.83452147239	458	S
ERR1713336.S	3191.86680689655	454	S
ERR1713337.S	1765.67209230769	474	S
ERR1713338.S	1737.68059090909	450	S
ERR1713339.S	1788.98763263212	372	S
ERR1713340.S	1603.44389749632	351	S
ERR1713341.S	2321.54101769911	458	S
ERR1713342.S	1679.1395	358	S
ERR1713343.S	1491.49881944444	414	S
ERR1713344.S	943.221888235294	499	S
ERR1713345.S	2318.81557068063	479	S
ERR1713347.S	2401.87427083333	477	S
ERR1713348.S	1734.270265625	435	S
ERR1713349.S	1924.96102352941	487	S
ERR1713350.S	2109.44166666667	464	S
ERR1713351.S	1947.86801685393	477	S
ERR1713353.S	1465.62873584906	442	S
ERR1713354.S	2605.83378899082	454	S
ERR1713355.S	2161.08696764706	470	S
ERR1713356.S	2130.75962937063	453	S
ERR1713357.S	2605.37231055901	408	S
ERR1713358.S	1845.338834375	424	S
ERR1713359.S	2697.02130666667	401	S
ERR1713360.S	2162.16585576923	443	S
ERR1713361.S	1126.22553571429	370	S
ERR1713362.S	1700.20438461538	470	S
ERR1713363.S	2286.77907916667	463	S
FJ.Fa10	352.294119413523	424	Fa
FJ.Fa5	496.52867733157	427	Fa
FJ.Fa7	450.874364277597	407	Fa
FJ.Fo10	770.417909971009	400	Fo
FJ.Fo5	803.161829619066	371	Fo
FJ.Fo7	758.579221441381	353	Fo
FJ.T10	441.439233309449	244	T
FJ.T5	1526.19763461596	238	T
FJ.T7	461.134445422507	202	T
FX.Fa10	542.956803392138	459	Fa
FX.Fa6	548.979793253081	475	Fa
FX.Fa9	697.086227687246	482	Fa
FX.Fo10	767.308099457927	415	Fo
FX.Fo7	772.042553522328	403	Fo
FX.Fo8	518.689658268017	418	Fo
FX.T6	369.21604703672	277	T
FX.T7	1496.26738219504	273	T
FX.T8	1228.85612850383	282	T
GD.Fa10	485.788955476497	445	Fa
GD.Fa16	726.635602332246	449	Fa
GD.Fa18	635.728692755678	447	Fa
GD.Fa20	740.87212146028	435	Fa
GD.Fa26	445.40564534442	381	Fa
GD.Fa28	433.230161081437	407	Fa
GD.Fa30	454.396089086126	380	Fa
GD.Fa6	638.257467679153	417	Fa
GD.Fa8	636.102655284771	440	Fa
GD.Fo10	238.711193415411	371	Fo
GD.Fo16	534.738621034428	429	Fo
GD.Fo18	509.234651139615	451	Fo
GD.Fo20	451.846203280845	454	Fo
GD.Fo26	575.140807679227	372	Fo
GD.Fo28	625.811754045457	403	Fo
GD.Fo30	463.75015328365	401	Fo
GD.Fo6	258.607904996313	352	Fo
GD.Fo8	276.260760797141	390	Fo
GD.T10	1260.1196350243	365	T
GD.T16	2565.11870676755	114	T
GD.T18	2700.08841875679	118	T
GD.T19	3012.20066987115	185	T
GD.T26	1884.38396431477	287	T
GD.T28	1854.79336734958	300	T
GD.T30	1657.66708551273	428	T
GD.T6	1404.12880161584	345	T
GD.T8	1510.973644349	351	T
GS.Fa5	522.561289540244	484	Fa
GS.Fa6	440.439321127418	491	Fa
GS.Fa7	569.815386757665	477	Fa
GS.Fo10	679.18288776524	415	Fo
GS.Fo6	524.769773429513	442	Fo
GS.Fo9	699.505500262228	435	Fo
GS.Go5	629.102420207242	402	Go
GS.Go8	757.368359769118	412	Go
GS.Go9	798.380363305217	403	Go
GS.T16	2154.29807601713	291	T
GS.T17	615.271805942011	248	T
GS.T19	2582.73768517934	230	T
GS.T5	1797.85228361174	303	T
GS.T7	2518.19849904834	249	T
GS.T8	1342.89069919335	242	T
GX.Fa5	624.428123648125	464	Fa
GX.Fa7	476.488257535491	418	Fa
GX.Fa9	658.67464413104	444	Fa
GX.Fo5	573.102988504854	347	Fo
GX.Fo7	503.706588443689	416	Fo
GX.Fo9	714.028904798854	382	Fo
GX.T5	1828.8660223635	399	T
GX.T7	1822.04812510937	331	T
GX.T9	1863.26616814766	339	T
GZ.Fa10	616.484591391565	396	Fa
GZ.Fa5	536.221077225523	427	Fa
GZ.Fa7	681.697225587539	394	Fa
GZ.Fo10	502.374346774175	384	Fo
GZ.Fo5	616.461079056419	400	Fo
GZ.Fo7	434.331599878769	386	Fo
GZ.T10	1432.64686876204	314	T
GZ.T5	1712.42945369405	307	T
GZ.T7	1741.62503361807	323	T
HLJ.Fa5	673.246371074235	460	Fa
HLJ.Fa7	419.637844275694	464	Fa
HLJ.Fa9	472.093511045485	493	Fa
HLJ.Fo5	477.407729254618	394	Fo
HLJ.Fo7	811.188348337294	404	Fo
HLJ.Fo9	873.969818916238	382	Fo
HLJ.T5	1684.6392369231	391	T
HLJ.T7	1784.05036066057	384	T
HLJ.T9	1688.20477956812	377	T
HeB.Fa10	395.999006153978	457	Fa
HeB.Fa6	421.97347494482	460	Fa
HeB.Fa8	409.124566700181	451	Fa
HeB.Gr10	317.996671383271	428	Gr
HeB.Gr6	370.450792158708	427	Gr
HeB.Gr8	249.839442372488	420	Gr
HeB.T10	2565.99612057126	237	T
HeB.T6	2747.69066378906	271	T
HeB.T8	2280.76537752341	258	T
HuB.Fa10	966.773746648303	467	Fa
HuB.Fa5	860.310306258147	481	Fa
HuB.Fa6	926.761213095167	478	Fa
HuB.Fo7	642.545970919074	436	Fo
HuB.Fo8	651.973561066826	454	Fo
HuB.Fo9	720.824774644926	464	Fo
HuB.T10	168.956704518675	171	T
HuB.T6	2287.34842711826	204	T
HuB.T8	2343.46253995513	212	T
HuN.Fa15	700.121912700102	461	Fa
HuN.Fa17	634.07680749512	428	Fa
HuN.Fa19	591.840145328419	425	Fa
HuN.Fa5	832.096882270741	448	Fa
HuN.Fa7	885.868974801781	447	Fa
HuN.Fa9	957.129399078393	313	Fa
HuN.Fo15	1040.79435666172	393	Fo
HuN.Fo19	896.033100731619	414	Fo
HuN.Fo20	626.041480641115	396	Fo
HuN.Fo5	859.300120630695	393	Fo
HuN.Fo7	1117.31555861916	392	Fo
HuN.Fo9	1037.84544679749	397	Fo
HuN.T15	2346.15665859689	402	T
HuN.T17	1910.93367201832	347	T
HuN.T19	2288.72132670219	354	T
HuN.T5	1496.66695191041	318	T
HuN.T7	1137.87241141321	296	T
HuN.T9	1437.42845707544	231	T
JS.Fa5	603.909058686588	484	Fa
JS.Fa7	567.918471833503	497	Fa
JS.Fa9	768.245273408078	495	Fa
JS.Fo5	786.184028497134	466	Fo
JS.Fo7	620.027970047384	441	Fo
JS.Fo9	791.237091777674	460	Fo
JS.T5	64.2501199045707	145	T
JS.T7	402.781006033338	176	T
JS.T9	1906.72718499791	303	T
JX.Fa10	512.48110413788	415	Fa
JX.Fa15	1044.40533492144	472	Fa
JX.Fa17	912.57860073367	469	Fa
JX.Fa19	562.460490865674	485	Fa
JX.Fa25	645.712657565592	503	Fa
JX.Fa27	852.4942987764	390	Fa
JX.Fa29	557.364739507345	441	Fa
JX.Fa35	588.719744618533	485	Fa
JX.Fa37	660.373593590725	478	Fa
JX.Fa39	573.994166349038	472	Fa
JX.Fa45	858.481638542891	428	Fa
JX.Fa47	792.005285805972	460	Fa
JX.Fa49	798.772544537318	458	Fa
JX.Fa5	1125.27602118346	381	Fa
JX.Fa7	548.601521607415	388	Fa
JX.Fo10	1088.76343950662	377	Fo
JX.Fo15	920.705945972093	381	Fo
JX.Fo17	1101.14947984421	377	Fo
JX.Fo19	771.855480480605	395	Fo
JX.Fo25	1090.34472869981	367	Fo
JX.Fo27	360.839876895928	82	Fo
JX.Fo29	1102.06936682899	354	Fo
JX.Fo35	571.031411966088	389	Fo
JX.Fo37	1477.5535946185	385	Fo
JX.Fo39	596.027797967858	423	Fo
JX.Fo45	613.037790857507	438	Fo
JX.Fo47	554.864784274188	407	Fo
JX.Fo49	584.385532480379	417	Fo
JX.Fo5	811.901583493812	386	Fo
JX.Fo7	1394.49879194769	347	Fo
JX.T10	1966.76569172287	352	T
JX.T15	1649.99509803169	374	T
JX.T17	1527.42450545564	387	T
JX.T19	2383.26386243315	298	T
JX.T26	4035.13703454595	169	T
JX.T27	199.318180901186	92	T
JX.T28	2113.61686777734	360	T
JX.T35	2089.68972131503	297	T
JX.T37	291.702819614309	238	T
JX.T39	1823.76393426054	289	T
JX.T45	753.80571407097	184	T
JX.T47	825.45834181773	235	T
JX.T5	1918.76414157544	366	T
JX.T50	1837.42165847781	264	T
JX.T7	1759.08812063795	352	T
LN.Fa1	314.452226591172	445	Fa
LN.Fa2	338.47096985618	452	Fa
LN.Fa4	428.505030931351	453	Fa
LN.Fo10	293.79230954414	414	Fo
LN.Fo6	299.720237357577	419	Fo
LN.Fo8	270.702668747469	416	Fo
LN.T10	1767.83241413175	376	T
LN.T6	1998.21027307094	384	T
LN.T8	692.853626767169	306	T
NM.Fa16	722.406798246328	389	Fa
NM.Fa18	698.802117125804	390	Fa
NM.Fa20	710.900231697439	399	Fa
NM.Fa7	460.059361016576	459	Fa
NM.Fa8	431.413249901057	475	Fa
NM.Fa9	421.716490585835	465	Fa
NM.Fo10	715.820874491053	403	Fo
NM.Fo6	507.580093682864	408	Fo
NM.Fo8	762.668058237359	404	Fo
NM.Gr16	382.918657138503	404	Gr
NM.Gr18	435.791684616827	418	Gr
NM.Gr20	443.6120169888	405	Gr
NM.Gr25	618.457761839077	418	Gr
NM.Gr28	512.636319212128	386	Gr
NM.Gr30	310.225600046544	401	Gr
NM.Gr7	588.778302948752	415	Gr
NM.Gr8	562.215882590223	422	Gr
NM.Gr9	584.83669728424	425	Gr
NM.T16	1937.0692231966	218	T
NM.T18	1610.67541494446	257	T
NM.T20	542.2205061871	195	T
NM.T26	2405.35023348279	214	T
NM.T28	2228.38431668027	143	T
NM.T30	527.755417917767	269	T
NM.T35	2076.72112095225	281	T
NM.T38	2185.18838386953	299	T
NM.T40	2368.58578372155	275	T
NM.T7	1699.49893124579	143	T
NM.T8	299.449419235278	248	T
NM.T9	3021.97782525151	104	T
QH.Go1	637.029999187466	231	Go
QH.Go3	679.141537229882	375	Go
QH.Go7	572.535412225478	290	Go
QH.Gr10	258.416715226389	413	Gr
QH.Gr6	347.684438750609	360	Gr
QH.Gr7	241.95741281296	383	Gr
QH.T10	1637.93439035132	340	T
QH.T12	147.877478059169	209	T
QH.T14	1767.23478929459	277	T
QH.T17	2222.0014764862	271	T
QH.T7	987.854603332374	376	T
QH.T9	1619.98620870008	332	T
SC.Gr10	528.547684507095	358	Gr
SC.Gr5	468.620271300167	373	Gr
SC.Gr7	602.017191833156	373	Gr
SC.T10	1476.09118916553	209	T
SC.T5	1643.37652319638	215	T
SC.T7	1332.22414517337	228	T
XJ.Go10	577.027205759341	237	Go
XJ.Go15	430.518221365606	387	Go
XJ.Go18	454.084924007374	361	Go
XJ.Go20	411.339312147323	375	Go
XJ.Go5	446.010193979901	203	Go
XJ.Go8	613.227420329449	279	Go
XJ.Gr15	288.487764130326	369	Gr
XJ.Gr16	258.596341094048	359	Gr
XJ.Gr20	434.488607390202	345	Gr
XJ.Gr5	295.065123303597	407	Gr
XJ.Gr7	285.18662097047	403	Gr
XJ.Gr8	265.655672368173	407	Gr
XJ.T10	937.871140762703	292	T
XJ.T15	1412.21163436906	240	T
XJ.T17	690.830547312569	261	T
XJ.T19	885.35929504832	251	T
XJ.T27	216.930197743328	343	T
XJ.T28	249.405152766635	331	T
XJ.T29	193.417657942393	339	T
XJ.T35	322.839148534218	397	T
XJ.T37	383.653089077883	383	T
XJ.T39	274.159846613428	387	T
XJ.T5	895.93766711311	330	T
XJ.T6	394.11521325963	269	T
XZ.Gr10	239.405486859511	342	Gr
XZ.Gr5	266.051741581001	412	Gr
XZ.Gr7	301.118645541111	377	Gr
YN.Fa10	529.006548472154	488	Fa
YN.Fa15	723.525313497454	479	Fa
YN.Fa17	499.497345738103	504	Fa
YN.Fa20	519.526720267507	495	Fa
YN.Fa25	678.513319539567	470	Fa
YN.Fa27	545.709150345458	458	Fa
YN.Fa30	603.996775373745	442	Fa
YN.Fa35	321.398614157078	469	Fa
YN.Fa38	302.972130211226	449	Fa
YN.Fa40	303.989138980304	470	Fa
YN.Fa5	379.184648247034	402	Fa
YN.Fa7	429.043328787467	508	Fa
YN.Fo10	307.373558218741	456	Fo
YN.Fo15	691.240270781838	479	Fo
YN.Fo17	422.24791165957	387	Fo
YN.Fo20	673.740336229842	478	Fo
YN.Fo25	427.381939559876	410	Fo
YN.Fo27	1340.4839779084	346	Fo
YN.Fo30	785.833071144206	423	Fo
YN.Fo36	419.892122304053	371	Fo
YN.Fo37	665.457675797553	394	Fo
YN.Fo40	674.735494320585	396	Fo
YN.Fo5	555.016673045164	455	Fo
YN.Fo7	335.66380356609	461	Fo
YN.T10	1238.09347899197	268	T
YN.T15	986.522418757213	197	T
YN.T17	919.355591108127	280	T
YN.T20	337.640527541115	186	T
YN.T25	1331.27708441348	347	T
YN.T27	1779.14840347172	315	T
YN.T30	1440.08282813732	394	T
YN.T35	2581.68339009677	329	T
YN.T37	2527.86882288058	326	T
YN.T39	2370.37176069646	330	T
YN.T5	1726.43087833439	202	T
YN.T7	1969.4620398814	254	T
YQ.Fa10	654.793664610481	461	Fa
YQ.Fa5	657.916973634728	446	Fa
YQ.Fa6	680.132682281536	456	Fa
YQ.Fo10	481.751299905073	452	Fo
YQ.Fo5	460.531467673102	435	Fo
YQ.Fo7	625.86009985471	439	Fo
YQ.T10	824.564228902221	312	T
YQ.T8	929.340358765992	306	T
YQ.T9	1485.57111264747	402	T
ZJ.Fa6	587.21117895091	464	Fa
ZJ.Fa7	545.34348036543	452	Fa
ZJ.Fa9	613.180097490689	421	Fa
ZJ.Fo5	770.905849469136	437	Fo
ZJ.Fo7	671.745327837622	434	Fo
ZJ.Fo9	614.823079687073	412	Fo
ZJ.T7	2176.59361353162	297	T
