sampleTyple	longitude	latitude	Collectionsite	Habitat	location
AH.Fa5	117.97375	30.93112667	AH	Fa	AH_Fa_Farmland
AH.Fa7	117.97375	30.93112667	AH	Fa	AH_Fa_Farmland
AH.Fa9	117.97375	30.93112667	AH	Fa	AH_Fa_Farmland
FJ.Fa10	116.3803267	25.15662667	FJ	Fa	FJ_Fa_Farmland
FJ.Fa5	116.3803267	25.15662667	FJ	Fa	FJ_Fa_Farmland
FJ.Fa7	116.3803267	25.15662667	FJ	Fa	FJ_Fa_Farmland
FX.Fa10	106.5948917	33.892345	FX	Fa	FX_Fa_Farmland
FX.Fa6	106.5948917	33.892345	FX	Fa	FX_Fa_Farmland
FX.Fa9	106.5948917	33.892345	FX	Fa	FX_Fa_Farmland
GD.Fa10	111.6462233	22.14442	GD	Fa	GD_SL_Farmland
GD.Fa16	113.661495	25.05477	GD	Fa	GD_FK_Farmland
GD.Fa18	113.661495	25.05477	GD	Fa	GD_FK_Farmland
GD.Fa20	113.661495	25.05477	GD	Fa	GD_FK_Farmland
GD.Fa26	113.7030467	24.59785333	GD	Fa	GD_DBS_Farmland
GD.Fa28	113.7030467	24.59785333	GD	Fa	GD_DBS_Farmland
GD.Fa30	113.7030467	24.59785333	GD	Fa	GD_DBS_Farmland
GD.Fa6	111.6462233	22.14442	GD	Fa	GD_SL_Farmland
GD.Fa8	111.6462233	22.14442	GD	Fa	GD_SL_Farmland
GS.Fa5	105.7585167	33.94789833	GS	Fa	GS_Fa_Farmland
GS.Fa6	105.7585167	33.94789833	GS	Fa	GS_Fa_Farmland
GS.Fa7	105.7585167	33.94789833	GS	Fa	GS_Fa_Farmland
GX.Fa5	107.6220533	24.82599167	GX	Fa	GX_Fa_Farmland
GX.Fa7	107.6220533	24.82599167	GX	Fa	GX_Fa_Farmland
GX.Fa9	107.6220533	24.82599167	GX	Fa	GX_Fa_Farmland
GZ.Fa10	104.01472	26.75056667	GZ	Fa	GZ_Fa_Farmland
GZ.Fa5	104.01472	26.75056667	GZ	Fa	GZ_Fa_Farmland
