sampleID	Site_full	longitude	latitude	Collectionsite	location	sampleTypes
AH.T5	安徽省铜陵市新桥镇新桥矿业尾矿	117.977325	30.92865833	AH	AH_T_Tail	Tailing
AH.T7	安徽省铜陵市新桥镇新桥矿业尾矿	117.977325	30.92865833	AH	AH_T_Tail	Tailing
AH.T9	安徽省铜陵市新桥镇新桥矿业尾矿	117.977325	30.92865833	AH	AH_T_Tail	Tailing
FJ.T10	福建龙岩市上杭县紫金山金铜矿尾矿	116.3897617	25.20264333	FJ	FJ_ZJ_Tail	Tailing
FJ.T5	福建龙岩市上杭县紫金山金铜矿尾矿	116.3897617	25.20264333	FJ	FJ_ZJ_Tail	Tailing
FJ.T7	福建龙岩市上杭县紫金山金铜矿尾矿	116.3897617	25.20264333	FJ	FJ_ZJ_Tail	Tailing
FX.T6	陕西凤县铅锌矿（上川铅锌矿）尾矿	106.602385	33.89311667	SX	SX_FX_Tail	Tailing
FX.T7	陕西凤县铅锌矿（上川铅锌矿）尾矿	106.602385	33.89311667	SX	SX_FX_Tail	Tailing
FX.T8	陕西凤县铅锌矿（上川铅锌矿）尾矿	106.602385	33.89311667	SX	SX_FX_Tail	Tailing
GD.T10	广东省阳春市石菉铜（钼）矿尾矿	111.644505	22.13872833	GD	GD_SL_Tail	Tailing
GD.T16	广东省凡口铅锌矿尾矿	113.6612883	25.04437167	GD	GD_FK_Tail	Tailing
GD.T18	广东省凡口铅锌矿尾矿	113.6612883	25.04437167	GD	GD_FK_Tail	Tailing
GD.T19	广东省凡口铅锌矿尾矿	113.6612883	25.04437167	GD	GD_FK_Tail	Tailing
GD.T26	广东省大宝山多金属矿尾矿	113.72234	24.57358833	GD	GD_DBS_Tail	Tailing
GD.T28	广东省大宝山多金属矿尾矿	113.72234	24.57358833	GD	GD_DBS_Tail	Tailing
GD.T30	广东省大宝山多金属矿尾矿	113.72234	24.57358833	GD	GD_DBS_Tail	Tailing
GD.T6	广东省阳春市石菉铜（钼）矿尾矿	111.644505	22.13872833	GD	GD_SL_Tail	Tailing
GD.T8	广东省阳春市石菉铜（钼）矿尾矿	111.644505	22.13872833	GD	GD_SL_Tail	Tailing
GS.T16	甘肃省金川铜镍矿（金川区G3022金武高速）尾矿	102.273055	38.47832333	GS	GS_JC_Tail	Tailing
GS.T17	甘肃省金川铜镍矿（金川区G3023金武高速）尾矿	102.273055	38.47832333	GS	GS_JC_Tail	Tailing
GS.T19	甘肃省金川铜镍矿（金川区G3025金武高速）尾矿	102.273055	38.47832333	GS	GS_JC_Tail	Tailing
GS.T5	甘肃陇南厂坝铅锌矿尾矿	105.714205	33.94689333	GS	GS_LN_Tail	Tailing
GS.T7	甘肃陇南厂坝铅锌矿尾矿	105.714205	33.94689333	GS	GS_LN_Tail	Tailing
GS.T8	甘肃陇南厂坝铅锌矿尾矿	105.714205	33.94689333	GS	GS_LN_Tail	Tailing
GX.T5	广西南丹星鑫综合尾矿库	107.6224217	24.834055	GX	GX_ND_Tail	Tailing
GX.T7	广西南丹星鑫综合尾矿库	107.6224217	24.834055	GX	GX_ND_Tail	Tailing
GX.T9	广西南丹星鑫综合尾矿库	107.6224217	24.834055	GX	GX_ND_Tail	Tailing
GZ.T10	贵州省毕节市威宁县黑石头镇凉山铅锌矿尾矿（废弃）	104.0146483	26.75060667	GZ	GZ_BJ_Tail	Tailing
GZ.T5	贵州省毕节市威宁县黑石头镇凉山铅锌矿尾矿（废弃）	104.0146483	26.75060667	GZ	GZ_BJ_Tail	Tailing
GZ.T7	贵州省毕节市威宁县黑石头镇凉山铅锌矿尾矿（废弃）	104.0146483	26.75060667	GZ	GZ_BJ_Tail	Tailing
HeB.T10	河北张家口市蔡家营村铅锌矿尾矿库	115.251655	41.42231667	HeB	HeB_ZJK_Tail	Tailing
HeB.T6	河北张家口市蔡家营村铅锌矿尾矿库	115.251655	41.42231667	HeB	HeB_ZJK_Tail	Tailing
HeB.T8	河北张家口市蔡家营村铅锌矿尾矿库	115.251655	41.42231667	HeB	HeB_ZJK_Tail	Tailing
HLJ.T5	伊春金林矿业有限公司西林铅锌矿尾矿库	129.2914817	47.45098833	HLJ	HLJ_YC_Tail	Tailing
HLJ.T7	伊春金林矿业有限公司西林铅锌矿尾矿库	129.2914817	47.45098833	HLJ	HLJ_YC_Tail	Tailing
HLJ.T9	伊春金林矿业有限公司西林铅锌矿尾矿库	129.2914817	47.45098833	HLJ	HLJ_YC_Tail	Tailing
HuB.T10	 湖北省丰山铜矿尾矿	115.476805	29.830675	HuB	HuB_FS_Tail	Tailing
HuB.T6	 湖北省丰山铜矿尾矿	115.476805	29.830675	HuB	HuB_FS_Tail	Tailing
HuB.T8	 湖北省丰山铜矿尾矿	115.476805	29.830675	HuB	HuB_FS_Tail	Tailing
HuN.T15	湖南省郴州市桂阳县黄沙坪铅锌矿尾矿	112.70138	25.67885333	HuN	HuN_HSP_Tail	Tailing
HuN.T17	湖南省郴州市桂阳县黄沙坪铅锌矿尾矿	112.70138	25.67885333	HuN	HuN_HSP_Tail	Tailing
HuN.T19	湖南省郴州市桂阳县黄沙坪铅锌矿尾矿	112.70138	25.67885333	HuN	HuN_HSP_Tail	Tailing
HuN.T5	湖南省衡阳市水口山镇铅锌矿尾矿	112.571115	26.54469	HuN	HuN_SKS_Tail	Tailing
HuN.T7	湖南省衡阳市水口山镇铅锌矿尾矿	112.571115	26.54469	HuN	HuN_SKS_Tail	Tailing
HuN.T9	湖南省衡阳市水口山镇铅锌矿尾矿	112.571115	26.54469	HuN	HuN_SKS_Tail	Tailing
JS.T5	江苏省南京市栖霞区银茂铅锌矿尾矿	118.9583117	32.16564667	JS	JS_YM_Tail	Tailing
