sampleName	sampleType	MGE_type_final	DepthPG	SAM_MGE
AH.Fa5	Farmland	ICE	0.547363925224121	AH.Fa5_ICE
AH.Fa7	Farmland	ICE	0.829872306407619	AH.Fa7_ICE
AH.Fa9	Farmland	ICE	0.414098094349797	AH.Fa9_ICE
AH.Fo5	Forest	ICE	0.386327110732308	AH.Fo5_ICE
AH.Fo7	Forest	ICE	0.828401949127933	AH.Fo7_ICE
AH.Fo9	Forest	ICE	0.459982564462592	AH.Fo9_ICE
AH.T5	Tailings	ICE	0.0127591173287	AH.T5_ICE
AH.T7	Tailings	ICE	0.0120969733234867	AH.T7_ICE
AH.T9	Tailings	ICE	0.0099809058189566	AH.T9_ICE
ERR1713332.S	Sludge	ICE	1.03687878787879	ERR1713332.S_ICE
ERR1713333.S	Sludge	ICE	1.39955	ERR1713333.S_ICE
ERR1713334.S	Sludge	ICE	1.13242446043166	ERR1713334.S_ICE
ERR1713335.S	Sludge	ICE	1.00037423312883	ERR1713335.S_ICE
ERR1713336.S	Sludge	ICE	1.59824137931035	ERR1713336.S_ICE
ERR1713337.S	Sludge	ICE	0.261146153846154	ERR1713337.S_ICE
ERR1713338.S	Sludge	ICE	1.13154545454546	ERR1713338.S_ICE
ERR1713339.S	Sludge	ICE	1.47489625410203	ERR1713339.S_ICE
ERR1713340.S	Sludge	ICE	1.06577437407953	ERR1713340.S_ICE
ERR1713341.S	Sludge	ICE	1.29513274336283	ERR1713341.S_ICE
ERR1713342.S	Sludge	ICE	0.755769230769231	ERR1713342.S_ICE
ERR1713343.S	Sludge	ICE	1.17547222222222	ERR1713343.S_ICE
ERR1713344.S	Sludge	ICE	0.605555882352941	ERR1713344.S_ICE
ERR1713345.S	Sludge	ICE	1.10706806282722	ERR1713345.S_ICE
ERR1713347.S	Sludge	ICE	4.43554166666666	ERR1713347.S_ICE
ERR1713348.S	Sludge	ICE	2.18721875	ERR1713348.S_ICE
ERR1713349.S	Sludge	ICE	1.5439	ERR1713349.S_ICE
ERR1713350.S	Sludge	ICE	2.02305416666667	ERR1713350.S_ICE
ERR1713351.S	Sludge	ICE	1.3434606741573	ERR1713351.S_ICE
ERR1713353.S	Sludge	ICE	1.96469811320755	ERR1713353.S_ICE
ERR1713354.S	Sludge	ICE	1.34719266055046	ERR1713354.S_ICE
ERR1713355.S	Sludge	ICE	1.33319117647059	ERR1713355.S_ICE
ERR1713356.S	Sludge	ICE	1.80231468531469	ERR1713356.S_ICE
ERR1713357.S	Sludge	ICE	0.288180124223602	ERR1713357.S_ICE
ERR1713358.S	Sludge	ICE	0.30714375	ERR1713358.S_ICE
ERR1713359.S	Sludge	ICE	0.19759	ERR1713359.S_ICE
ERR1713360.S	Sludge	ICE	1.68510576923077	ERR1713360.S_ICE
ERR1713361.S	Sludge	ICE	0.926821428571429	ERR1713361.S_ICE
ERR1713362.S	Sludge	ICE	0.770073076923076	ERR1713362.S_ICE
ERR1713363.S	Sludge	ICE	1.04090833333333	ERR1713363.S_ICE
FJ.Fa10	Farmland	ICE	0.431257594570013	FJ.Fa10_ICE
FJ.Fa5	Farmland	ICE	0.370510895264977	FJ.Fa5_ICE
FJ.Fa7	Farmland	ICE	0.2984350762128	FJ.Fa7_ICE
