sampleName	DepthPG	sampleType
AH.Fa5	903.232339759601	Farmland
AH.Fa7	935.593687372035	Farmland
AH.Fa9	966.71986036396	Farmland
AH.Fo5	734.806870439581	Forest
AH.Fo7	687.973520624368	Forest
AH.Fo9	621.826732483266	Forest
AH.T5	454.798488342131	Tailings
AH.T7	240.344392570389	Tailings
AH.T9	586.379577896312	Tailings
ERR1713332.S	2856.17836363636	Sludge
ERR1713333.S	1802.0614	Sludge
ERR1713334.S	1437.02621582734	Sludge
ERR1713335.S	1512.95027607362	Sludge
ERR1713336.S	1830.66048275862	Sludge
ERR1713337.S	778.630646153846	Sludge
ERR1713338.S	883.265272727273	Sludge
ERR1713339.S	2568.91063821689	Sludge
ERR1713340.S	1200.02341325479	Sludge
ERR1713341.S	1772.18431858407	Sludge
ERR1713342.S	981.643769230769	Sludge
ERR1713343.S	1441.79043055556	Sludge
ERR1713344.S	491.580688235294	Sludge
ERR1713345.S	1284.97617801047	Sludge
ERR1713347.S	1280.95980416667	Sludge
ERR1713348.S	2408.675609375	Sludge
ERR1713349.S	1088.14705588235	Sludge
ERR1713350.S	1298.452675	Sludge
ERR1713351.S	1180.84050561798	Sludge
ERR1713353.S	729.137490566038	Sludge
ERR1713354.S	1702.77701834862	Sludge
ERR1713355.S	1514.01557352941	Sludge
ERR1713356.S	1594.02200699301	Sludge
ERR1713357.S	1244.01580124224	Sludge
ERR1713358.S	631.69195625	Sludge
ERR1713359.S	601.483896666667	Sludge
ERR1713360.S	1627.27646153846	Sludge
ERR1713361.S	639.28225	Sludge
ERR1713362.S	719.272888461539	Sludge
ERR1713363.S	1702.99588333333	Sludge
FJ.Fa10	612.180347831867	Farmland
FJ.Fa5	644.28195296842	Farmland
FJ.Fa7	633.455342313584	Farmland
FJ.Fo10	684.791837457705	Forest
FJ.Fo5	675.103170784906	Forest
FJ.Fo7	665.772896029812	Forest
FJ.T10	493.318252656884	Tailings
FJ.T5	707.83857224436	Tailings
FJ.T7	330.588242068112	Tailings
FX.Fa10	811.81562462491	Farmland
FX.Fa6	815.162548296569	Farmland
FX.Fa9	915.498401253899	Farmland
FX.Fo10	883.75449872578	Forest
FX.Fo7	870.056026910997	Forest
FX.Fo8	730.524299835181	Forest
FX.T6	362.863851082215	Tailings
FX.T7	1428.00075500987	Tailings
FX.T8	756.3169979283	Tailings
GD.Fa10	753.214810769482	Farmland
GD.Fa16	774.449760588921	Farmland
GD.Fa18	722.13928435589	Farmland
GD.Fa20	873.120432598555	Farmland
GD.Fa26	435.03930654922	Farmland
GD.Fa28	582.973622254992	Farmland
GD.Fa30	452.208921747638	Farmland
GD.Fa6	746.52692931391	Farmland
GD.Fa8	761.771223293879	Farmland
GD.Fo10	659.259556698608	Forest
GD.Fo16	916.020712872509	Forest
GD.Fo18	875.59093597282	Forest
