sampleType	MGE_type_final	drug_percent
Farmland	ICE	0.00118190612300224
Farmland	IS	0.125362070878364
Farmland	Integron	0.00143895199219524
Farmland	Phage	0.0081258084366685
Farmland	Plasmids	0.852554994330047
Farmland	Transposon	0.0113362682397233
Forest	ICE	0.00154093404493089
Forest	IS	0.119499454133461
Forest	Integron	0.00083683891441416
Forest	Phage	0.0090227057597532
Forest	Plasmids	0.856755541382581
Forest	Transposon	0.0123445257648588
Gobi	ICE	0.00194764780007151
Gobi	IS	0.149813706296122
Gobi	Integron	0.000343215784398142
Gobi	Phage	0.00968135038244309
Gobi	Plasmids	0.822746780670392
Gobi	Transposon	0.0154672990665733
Grass	ICE	0.0017397738644845
Grass	IS	0.128095803942479
Grass	Integron	0.000982838411617771
Grass	Phage	0.00953007311798542
Grass	Plasmids	0.848434057036454
Grass	Transposon	0.0112174536269792
Sludge	ICE	0.00112793555533928
Sludge	IS	0.4032616553597
Sludge	Integron	0.00471789409269843
Sludge	Phage	0.0175132402633437
Sludge	Plasmids	0.508751137714864
Sludge	Transposon	0.0646281370140547
Tailings	ICE	0.00168089034082839
Tailings	IS	0.270265611691827
Tailings	Integron	0.00412596248409832
Tailings	Phage	0.0160043889929359
Tailings	Plasmids	0.633405742549722
Tailings	Transposon	0.074517403940588
