Plasmid_type	ARG	mean
Conj	ABC	0.693530180351499
Conj	oprM	0.693540566248541
Conj	vanH	0.693199762481738
ICE	bacA	0.703141473970669
ICE	bcrA	0.704137431462702
ICE	ksgA	0.722114741736987
ICE	ABC	0.710287772601289
ICE	penA	0.698719549708632
ICE	sul4	0.72519522617992
ICE	tetA(48)	0.848412794657715
ICE	vanH	0.703536931075426
Phage	PmrF	0.768123155386663
Phage	TaeA	0.718604779687941
Phage	bacA	0.796030624023674
Phage	baeR	0.693486508474451
Phage	bcrA	0.787240965521353
Phage	ksgA	0.829564862465374
Phage	macA	0.727759891388519
Phage	mexE	0.719556028638079
Phage	ABC	1.12439072167798
Phage	oprM	0.707647605798088
Phage	penA	0.798805559672371
Phage	rosB	0.714114285832333
Phage	rpoB2	0.742960023761483
Phage	rpsD	0.722635601561846
Phage	sul4	0.737638530983263
Phage	tetA(48)	1.07854240551763
Phage	vanD	0.693378055444582
Phage	vanH	0.75098670262134
unconj	PmrF	0.693183314524542
unconj	TaeA	0.69488181983235
unconj	bacA	0.722337176494952
unconj	bcrA	0.696827782356384
unconj	ksgA	0.693560727078556
unconj	ABC	0.723683424226187
unconj	opcM	0.693155077133571
unconj	oprM	0.693606468886275
unconj	penA	0.694355981428805
unconj	sul4	0.715564427775302
unconj	tetA(48)	0.701816002947996
unconj	vanH	0.706315396494448
unmob	PmrF	2.44547753743524
unmob	TaeA	2.4173096210789
unmob	bacA	2.91741146974262
unmob	baeR	2.0235196708443
unmob	bcrA	3.24832887630873
unmob	clbC	1.81486354487553
unmob	ksgA	2.59182116999133
unmob	macA	2.39607074325921
unmob	mexE	2.5069081031281
unmob	ABC	4.25334381684645
unmob	opcM	1.91453743196668
unmob	oprM	2.57826205494479
unmob	penA	3.19807449819474
unmob	rosB	2.27199214364405
unmob	rpoB2	2.72060690833782
unmob	rpsD	2.37059862573411
unmob	sul4	2.77404644842292
unmob	tetA(48)	4.00069586864676
unmob	vanD	1.88234691865134
unmob	vanH	3.32266469312881
