Plasmid_type	ARG	mean
Conj	ABC	0.693230382577915
Conj	oprM	0.69344348583363
Conj	vanH	0.693240669117018
ICE	bcrA	0.701290872697955
ICE	MFS	0.714022983920198
ICE	mdtA	0.699380988114131
ICE	mexF	0.695206117501877
ICE	ABC	0.757670261290379
ICE	penA	0.699107977407739
ICE	tcmA	0.724121179709254
ICE	tetA(48)	0.828226310578569
ICE	vanH	0.699116059078559
Phage	EmrB	0.719112915754581
Phage	OpmB	0.695875108768474
Phage	PmrF	0.755771210720013
Phage	TaeA	0.715180679456745
Phage	bcrA	0.81406339499784
Phage	emrA	0.712510816262506
Phage	emrB	0.698585643981113
Phage	MFS	0.822249165779399
Phage	mdtA	0.741781529234841
Phage	mexE	0.720755095385868
Phage	mexF	0.780311786069198
Phage	ABC	1.08105905873627
Phage	oprM	0.708694111321419
Phage	penA	0.828218008807608
Phage	rpoB2	0.726470459631109
Phage	tcmA	0.701649953720031
Phage	tetA(48)	0.98707538245747
Phage	vanD	0.69319959870857
Phage	vanH	0.752989138426212
unconj	PmrF	0.693174542824572
unconj	TaeA	0.696677343217936
unconj	bcrA	0.697148398918199
unconj	emrA	0.693272323989859
unconj	emrB	0.693327009701432
unconj	MFS	0.695221432354767
unconj	mdtA	0.696933854758862
unconj	mexF	0.700473060180148
unconj	ABC	0.76701313575952
unconj	oprM	0.693898982876008
unconj	penA	0.70007432528859
unconj	tcmA	0.703265902807601
unconj	tetA(48)	0.698333299147734
unconj	vanH	0.70229637394673
unmob	EmrB	2.32372900499641
unmob	OpmB	1.97587209076329
unmob	PmrF	2.33722690874158
unmob	TaeA	2.34292721401416
unmob	bcrA	3.11126963747669
unmob	emrA	2.28137859792276
unmob	emrB	2.09576830200411
unmob	MFS	3.09172710730919
unmob	mdtA	2.56411436713557
unmob	mexE	2.8183051779121
unmob	mexF	2.74606821391669
unmob	ABC	4.1977654789724
unmob	opcM	1.92547581723973
unmob	oprM	2.77494972892651
unmob	penA	3.02397284941505
unmob	rpoB2	2.97028748294701
unmob	tcmA	2.63627605725378
unmob	tetA(48)	3.90080476111475
unmob	vanD	1.76689426352535
unmob	vanH	3.27057207828834
