Plasmid_type	ARG	mean
Conj	ABC	0.734215782808408
Conj	vanH	0.693272973622176
ICE	bacA	0.693345119239232
ICE	bcrA	0.707998846825679
ICE	ABC	0.695654994973805
ICE	penA	0.694121617096499
ICE	PRP	0.697290995449639
ICE	sul4	0.73240202480682
ICE	tcmA	0.693620381820555
ICE	tetA(48)	0.897309221127958
ICE	tetB(48)	0.750917115647577
ICE	vanH	0.705661631852743
Phage	EmrB	0.70842138607944
Phage	PmrF	0.741522152788449
Phage	TaeA	0.700172195402081
Phage	bacA	0.788264770268074
Phage	bcrA	0.75453022244816
Phage	clbB	0.733591638003077
Phage	ABC	1.02290452616095
Phage	patA	0.705284325300508
Phage	penA	0.820868686939536
Phage	PRP	0.715808765588023
Phage	rosB	0.717004050955444
Phage	rpoB2	0.707363620034285
Phage	rpsD	0.718739068917362
Phage	sul4	0.705683095780356
Phage	tcmA	0.693565806152317
Phage	tetA(48)	1.2162624229629
Phage	tetB(48)	0.741905665825157
Phage	vanD	0.693310474147072
Phage	vanH	0.733061430697359
unconj	TaeA	0.693262322276814
unconj	bacA	0.720009054911011
unconj	bcrA	0.695056300969962
unconj	ABC	0.744399481181136
unconj	patA	0.712346066743279
unconj	penA	0.704318286635659
unconj	sul4	0.75501798376592
unconj	tcmA	0.695156071155195
unconj	tetA(48)	0.709156018284425
unconj	tetB(48)	0.697671995835429
unconj	vanH	0.700743997386121
unmob	EmrB	2.06670748633003
unmob	PmrF	1.94478737531072
unmob	TaeA	2.12663143231355
unmob	bacA	2.64811845529544
unmob	bcrA	2.79525201942411
unmob	clbB	2.14584536475915
unmob	ABC	3.67775197337365
unmob	patA	2.74034857738289
unmob	penA	2.69376581840207
unmob	PRP	2.14573161501204
unmob	rosB	1.76082682570247
unmob	rpoB2	5.15317731350778
unmob	rpsD	2.04374193397121
unmob	sul4	2.74830789970941
unmob	tcmA	2.48592276893173
unmob	tet35	1.03083431851104
unmob	tetA(48)	3.80110008564189
unmob	tetB(48)	2.45265728851476
unmob	vanD	1.66258353316915
unmob	vanH	2.65283853169355
