Plasmid_type	ARG	mean
Conj	ABC	0.694075807549272
ICE	bacA	0.696445056700653
ICE	baeR	0.693183573931341
ICE	bcrA	0.704732784852535
ICE	ABC	0.704967223123584
ICE	patA	0.693386424911059
ICE	penA	0.695696881917842
ICE	PRP	0.699120492006649
ICE	sul4	0.781073942455737
ICE	tcmA	0.744905650772261
ICE	tetA(48)	0.937589033932426
ICE	vanH	0.717406318337492
Phage	EmrB	0.712546548456114
Phage	PmrF	0.758906636843463
Phage	TaeA	0.708473387357139
Phage	bacA	0.901061751149675
Phage	baeR	0.693333654251258
Phage	bcrA	0.819616240235194
Phage	clbB	0.704421139977994
Phage	mexE	0.715227743041735
Phage	ABC	1.10716263582885
Phage	patA	0.737729890153112
Phage	penA	0.828572533370071
Phage	PRP	0.707611967496643
Phage	rpoB2	0.715377043400176
Phage	rpsD	0.719382708371144
Phage	sul4	0.733649286159998
Phage	tcmA	0.695927821396351
Phage	tetA(48)	1.2258050777611
Phage	vanH	0.751442320316356
unconj	TaeA	0.694755741838934
unconj	bacA	0.710247713633394
unconj	bcrA	0.695316677056255
unconj	ABC	0.762260828010832
unconj	patA	0.703523591959181
unconj	penA	0.702303119227964
unconj	sul4	0.733176617194055
unconj	tcmA	0.695997084043171
unconj	tetA(48)	0.701007465690092
unconj	vanH	0.70117695592848
unmob	EmrB	2.38395845046069
unmob	PmrF	2.27216371650067
unmob	TaeA	2.31506369797704
unmob	bacA	2.86073967247171
unmob	baeR	1.7565940939691
unmob	bcrA	3.15055730453713
unmob	clbB	2.1637625085661
unmob	clbC	1.69783679800966
unmob	mexE	2.31264396483898
unmob	ABC	4.09318825984453
unmob	patA	2.52133995478412
unmob	penA	3.15751275574522
unmob	PRP	2.46507945849017
unmob	rpoB2	2.89450669012964
unmob	rpsD	2.34974422507156
unmob	sul4	2.83759833807802
unmob	tcmA	2.92070362882275
unmob	tetA(48)	4.01440848340141
unmob	vanD	1.9155419298161
unmob	vanH	3.24253184997339
