Plasmid_type	ARG	mean
Conj	cfrC	0.693452813996347
Conj	ABC	0.733284105262104
Conj	oprM	0.696227768014789
ICE	bcrA	0.693419304249155
ICE	MFS	0.693375184868018
ICE	ABC	0.693736083673894
Phage	bcrA	0.840114971492563
Phage	bcr	0.76278391196213
Phage	cfrC	0.693278005335345
Phage	CFR	0.877949503405185
Phage	MFS	0.70988117561428
Phage	mdtA	0.694114016019562
Phage	mexE	0.765235876087034
Phage	ABC	1.68372709574367
Phage	vanB	0.831286172100513
unconj	bcrA	1.23879238708178
unconj	CFR	1.150118394895
unconj	ermB	1.87832146902221
unconj	mphD	1.14107719572844
unconj	msrE	1.14107719572844
unconj	ABC	1.05304574193369
unconj	oprM	1.22775206393639
unmob	OXA-85	2.25684391745517
unmob	RlmA(II)	2.39322428208398
unmob	aadA	2.4608619678577
unmob	bcrA	2.94096894073925
unmob	bcr	2.5112375682154
unmob	cfrC	2.2417641252174
unmob	CFR	2.90862483930459
unmob	class_A	2.40772316791731
unmob	ermB	2.8584129483897
unmob	lnuB	1.98778965117113
unmob	MFS	5.17610746441898
unmob	mdtA	2.52986849771439
unmob	mef(B)	2.19979181342538
unmob	mexE	2.47287473357139
unmob	mphD	3.39956019861098
unmob	msrC	2.18295405297436
unmob	msrE	3.40377931144182
unmob	ABC	3.51638409527195
unmob	oprM	4.70157502157352
unmob	vanB	2.72401079457328
