MGE_type_final	ARG	mean
IS	bacA	0.376476010741554
IS	bcrA	0.29768521580719
IS	carA	0.172073295900703
IS	emrB	0.223171405938512
IS	ksgA	0.176437260317457
IS	macA	0.184008110502289
IS	MFS	0.299432361716445
IS	mdtA	0.212150078690702
IS	mdtK	0.187648988636489
IS	mexF	0.222869862747692
IS	ABC	0.706845444712619
IS	oprN	0.199145660170502
IS	patA	0.196178887568231
IS	RM	0.198568423157553
IS	rosB	1.44962056822111
IS	rpsD	0.325491479920877
IS	sul2	0.168660922165618
IS	tcmA	0.442291507722616
IS	tetA(48)	0.643342568639912
IS	vanH	0.320023477855989
Integron	ABC	0.0613672583303912
Integron	vanH	0.052237374699516
Transposon	bacA	0.126623369216006
Transposon	bcrA	0.109902911911176
Transposon	macA	0.0488540589795962
Transposon	MFS	0.0664436262623602
Transposon	mdtA	0.0491816188225245
Transposon	mexF	0.0501612412573886
Transposon	ABC	0.307715783889512
Transposon	rosB	0.13205279404249
Transposon	rpsD	0.0929391223143839
Transposon	sul2	0.0488617364980668
Transposon	tcmA	0.195500320112671
Transposon	tetA(48)	0.122806598106004
Transposon	vanH	0.0524251534022821
