MGE_type_final	ARG	mean
IS	AAC(6')-Ie-APH(2'')-Ia	0.108446512382471
IS	acrA	0.297474395692216
IS	bacA	0.319762745332177
IS	class_A	0.138165854316332
IS	dfrA1	0.0491702236159197
IS	efrA	0.155097596483725
IS	emrB	0.3828465850224
IS	MFS	0.550806092999179
IS	mdtA	0.227859869604186
IS	mecR1	0.176160387757236
IS	mexF	0.289414386320699
IS	msrA	0.089049861455242
IS	ABC	0.75959504045952
IS	rosB	1.23411924791381
IS	tcmA	0.453181789527498
IS	tet(42)	0.174021929393182
IS	tetA(48)	0.759876109003236
IS	tetB(48)	0.229216464213388
IS	vanH	0.35522298878019
Integron	ABC	0.0540675431972989
Integron	vanH	0.0557131616310436
Transposon	acrA	0.0770164857265958
Transposon	bacA	0.122673894594808
Transposon	MFS	0.0822917616894591
Transposon	mdtA	0.0514340244896186
Transposon	mexF	0.0538992901543001
Transposon	ABC	0.288646364817546
Transposon	rosB	0.0868776293217032
Transposon	tcmA	0.173139990263754
Transposon	tetA(48)	0.107401118355026
Transposon	tetY	0.0488159480999526
Transposon	vanH	0.0539947201658073
