MGE_type_final	ARG	mean
IS	AAC(2')-IIb	0.16334726955962
IS	AAC(6')-Ib7	0.0493690692855745
IS	TriA	0.233444052285878
IS	aac(6')-I	0.189017110851917
IS	aadA	0.104097089836317
IS	abeS	0.175823899354542
IS	bleO	0.130337554026037
IS	dfrA3	0.235837845919319
IS	ksgA	0.213317500826222
IS	MFS	0.274168700305582
IS	ABC	0.732397412955025
IS	patA	0.487243440407319
IS	RM	0.358360666117436
IS	rosB	0.931233639243117
IS	sul1	0.100143053639808
IS	sul4	0.319116333586199
IS	tcmA	0.206392426446901
IS	tetA(48)	1.05431287877177
IS	tetB(48)	0.336513138374437
IS	vgaC	0.167141831785348
Integron	abeS	0.048918561078428
Integron	ABC	0.0539276879298834
Transposon	AAC(6')-Ib7	0.0977386781539176
Transposon	TriA	0.0506285967782976
Transposon	aadA	0.137730650239198
Transposon	abeS	0.0714305656137751
Transposon	dfrA3	0.0501972411572371
Transposon	MFS	0.0506929652653536
Transposon	ABC	0.214087922833757
Transposon	rosB	0.0688408512349775
Transposon	sul1	0.137730650239198
Transposon	sul4	0.0667495535087818
Transposon	tcmA	0.304391184092638
Transposon	tetA(48)	0.0789168867703557
