MGE_type_final	ARG	mean
IS	CTX-M-14	0.0574567029440195
IS	PmrF	0.362106310012522
IS	TriB	0.170057537116084
IS	aac(6')-I	0.171471521462814
IS	bacA	0.270820565060857
IS	bcrA	0.234505379956091
IS	emrB	0.221391229507287
IS	MFS	0.314439204481422
IS	mdtA	0.264278129275473
IS	mdtM	0.0545327892894023
IS	ABC	0.596789657880297
IS	patA	0.361640881590455
IS	PRP	0.342419609913076
IS	RM	0.301761010519144
IS	rosB	1.18944153769088
IS	rpsD	0.244099207243635
IS	tcmA	0.404802305597597
IS	tetA(48)	0.831645564104632
IS	tetB(48)	0.444055078563834
IS	vanH	0.290659912765682
Integron	ABC	0.0555149070834578
Integron	vanH	0.061693250778264
Transposon	PmrF	0.051959580519264
Transposon	bacA	0.105876770017969
Transposon	bcrA	0.0873837868562217
Transposon	MFS	0.0589879108107488
Transposon	ABC	0.277977439638043
Transposon	rosB	0.0769449557641066
Transposon	rpsD	0.131416846503225
Transposon	tcmA	0.21613556015277
Transposon	tetA(48)	0.0946841049808471
Transposon	vanH	0.0502057588003094
