MGE_type_final	ARG	mean
IS	arr	0.788035982419683
IS	CTX-M-14	1.3380005204248
IS	CfxA6	1.01326429975847
IS	Mrx	1.22496374515716
IS	OXA-10	1.15239356097067
IS	aadA	2.04779339577731
IS	abeS	1.99335662115182
IS	aph(3'')-I	1.42427248724379
IS	aph(6)-I	1.42800077055023
IS	class_A	1.77030956504193
IS	ermB	2.73722963290207
IS	mef(B)	1.51775693716878
IS	mphA	1.22496374515716
IS	msrC	1.51775693716878
IS	ABC	1.55867705279868
IS	oprM	3.7206723133577
IS	sul1	1.33997821538058
IS	tetA	1.71761922910944
IS	tetG	0.989485456620375
IS	vanB	1.6386916115237
Integron	abeS	0.349052582249712
Transposon	aadA	1.42863727561764
Transposon	abeS	1.25487722363553
Transposon	aph(3'')-I	0.115793512693347
Transposon	aph(6)-I	0.115793512693347
Transposon	ABC	0.156391693493206
Transposon	oprM	0.581215107878174
Transposon	sul1	1.39702756114405
Transposon	tetA	0.107794687964655
Transposon	vanB	0.0490159919726988
